date,cumulative
03/26/20,1
03/27/20,1
03/28/20,1
03/29/20,2
03/30/20,2
03/31/20,2
04/01/20,4
04/02/20,5
04/03/20,12
04/04/20,15
04/05/20,16
04/06/20,18
04/07/20,21
04/08/20,25
04/09/20,25
04/10/20,29
04/11/20,30
04/12/20,47
04/13/20,48
04/14/20,56
04/15/20,64
04/16/20,69
04/17/20,75
04/18/20,88
04/19/20,89
04/20/20,91
04/21/20,96
04/22/20,98
04/23/20,110
04/24/20,115
04/25/20,115
04/26/20,125
04/27/20,125
04/28/20,141
04/29/20,141
04/30/20,157
05/01/20,160
05/02/20,172
05/03/20,172
05/04/20,174
05/05/20,187
05/06/20,189
05/07/20,202
05/08/20,202
05/09/20,202
05/10/20,206
05/11/20,211
05/12/20,221
05/13/20,224
05/14/20,227
05/15/20,229
05/16/20,233
05/17/20,238
05/18/20,239
05/19/20,241
05/20/20,243
05/21/20,244
05/22/20,255
05/23/20,255
05/24/20,257
05/25/20,257
05/26/20,257
05/27/20,261
05/28/20,271
05/29/20,270
05/30/20,287
05/31/20,287
06/01/20,288
06/02/20,290
06/03/20,294
06/04/20,298
06/05/20,301
06/06/20,301
06/07/20,304
06/08/20,304
06/09/20,305
06/10/20,315
06/11/20,317
06/12/20,317
06/13/20,324
06/14/20,324
06/15/20,324
06/16/20,326
06/17/20,329
06/18/20,337
06/19/20,341
06/20/20,343
06/21/20,345
06/22/20,346
06/23/20,349
06/24/20,353
06/25/20,360
06/26/20,370
06/27/20,379
06/28/20,381
06/29/20,381
06/30/20,397
07/01/20,407
07/02/20,416
07/03/20,425
07/04/20,435
07/05/20,443
07/06/20,444
07/07/20,461
07/08/20,479
07/09/20,516
07/10/20,525
07/11/20,554
07/12/20,586
07/13/20,593
07/14/20,611
07/15/20,633
07/16/20,639
07/17/20,647
07/18/20,663
07/19/20,665
07/20/20,669
07/21/20,743
