County,date,confirmed
New Cases 01-01-2021,01-01-2021,21
New Cases 01-02-2021,01-02-2021,25
New Cases 01-03-2021,01-03-2021,51
New Cases 01-04-2021,01-04-2021,4
New Cases 01-05-2021,01-05-2021,9
New Cases 01-06-2021,01-06-2021,27
New Cases 01-07-2021,01-07-2021,52
New Cases 01-08-2021,01-08-2021,30
New Cases 01-09-2021,01-09-2021,27
New Cases 01-10-2021,01-10-2021,33
New Cases 01-11-2021,01-11-2021,14
New Cases 01-12-2021,01-12-2021,23
New Cases 01-13-2021,01-13-2021,14
New Cases 01-14-2021,01-14-2021,3
New Cases 01-15-2021,01-15-2021,18
New Cases 01-16-2021,01-16-2021,16
New Cases 01-17-2021,01-17-2021,23
New Cases 01-18-2021,01-18-2021,13
New Cases 01-19-2021,01-19-2021,22
New Cases 01-20-2021,01-20-2021,3
New Cases 01-21-2021,01-21-2021,7
New Cases 01-22-2021,01-22-2021,20
New Cases 01-23-2021,01-23-2021,19
New Cases 01-24-2021,01-24-2021,0
New Cases 01-25-2021,01-25-2021,0
New Cases 01-26-2021,01-26-2021,15
New Cases 01-27-2021,01-27-2021,11
New Cases 01-28-2021,01-28-2021,7
New Cases 01-29-2021,01-29-2021,19
New Cases 01-30-2021,01-30-2021,14
New Cases 01-31-2021,01-31-2021,3
New Cases 02-01-2021,02-01-2021,29
New Cases 02-02-2021,02-02-2021,12
New Cases 02-03-2021,02-03-2021,11
New Cases 02-04-2021,02-04-2021,10
New Cases 02-05-2021,02-05-2021,19
New Cases 02-06-2021,02-06-2021,18
New Cases 02-07-2021,02-07-2021,-1
New Cases 02-08-2021,02-08-2021,8
New Cases 02-09-2021,02-09-2021,16
New Cases 02-10-2021,02-10-2021,3
New Cases 02-11-2021,02-11-2021,12
New Cases 02-12-2021,02-12-2021,18
New Cases 02-13-2021,02-13-2021,18
New Cases 02-14-2021,02-14-2021,4
New Cases 02-15-2021,02-15-2021,6
New Cases 02-16-2021,02-16-2021,14
New Cases 02-17-2021,02-17-2021,3
New Cases 02-18-2021,02-18-2021,3
New Cases 02-19-2021,02-19-2021,-1
New Cases 02-20-2021,02-20-2021,2
New Cases 02-21-2021,02-21-2021,3
New Cases 02-22-2021,02-22-2021,5
New Cases 02-23-2021,02-23-2021,1
New Cases 02-24-2021,02-24-2021,6
New Cases 02-25-2021,02-25-2021,6
New Cases 02-26-2021,02-26-2021,10
New Cases 02-27-2021,02-27-2021,15
New Cases 02-28-2021,02-28-2021,16
New Cases 03-01-2021,03-01-2021,2
New Cases 03-02-2021,03-02-2021,13
New Cases 03-03-2021,03-03-2021,3
New Cases 03-04-2021,03-04-2021,3
New Cases 03-05-2021,03-05-2021,6
New Cases 03-06-2021,03-06-2021,8
New Cases 03-07-2021,03-07-2021,0
