County,New Probable 2020-11-01,New Probable 2020-11-02,New Probable 2020-11-03,New Probable 2020-11-04,New Probable 2020-11-05,New Probable 2020-11-06,New Probable 2020-11-07,New Probable 2020-11-08,New Probable 2020-11-09,New Probable 2020-11-10,New Probable 2020-11-11,New Probable 2020-11-12,New Probable 2020-11-13,New Probable 2020-11-14,New Probable 2020-11-15,New Probable 2020-11-16,New Probable 2020-11-17,New Probable 2020-11-18,New Probable 2020-11-19,New Probable 2020-11-20,New Probable 2020-11-21,New Probable 2020-11-22,New Probable 2020-11-23,New Probable 2020-11-24,New Probable 2020-11-25,New Probable 2020-11-26,New Probable 2020-11-27,New Probable 2020-11-28,New Probable 2020-11-29,New Probable 2020-11-30,New Probable 2020-12-01,New Probable 2020-12-02,New Probable 2020-12-03,New Probable 2020-12-04,New Probable 2020-12-05,New Probable 2020-12-06,New Probable 2020-12-07,New Probable 2020-12-08,New Probable 2020-12-09,New Probable 2020-12-10,New Probable 2020-12-11,New Probable 2020-12-12,New Probable 2020-12-13,New Probable 2020-12-14,New Probable 2020-12-15,New Probable 2020-12-16,New Probable 2020-12-17,New Probable 2020-12-18,New Probable 2020-12-19,New Probable 2020-12-20,New Probable 2020-12-21,New Probable 2020-12-22,New Probable 2020-12-23,New Probable 2020-12-24,New Probable 2020-12-25,New Probable 2020-12-26,New Probable 2020-12-27,New Probable 2020-12-28,New Probable 2020-12-29,New Probable 2020-12-30,New Probable 2020-12-31,New Probable 2021-01-01,New Probable 2021-01-02,New Probable 2021-01-03,New Probable 2021-01-04,New Probable 2021-01-05,New Probable 2021-01-06,New Probable 2021-01-07,New Probable 2021-01-08,New Probable 2021-01-09,New Probable 2021-01-10,New Probable 2021-01-11,New Probable 2021-01-12,New Probable 2021-01-13,New Probable 2021-01-14,New Probable 2021-01-15,New Probable 2021-01-16,New Probable 2021-01-17,New Probable 2021-01-18,New Probable 2021-01-19,New Probable 2021-01-20,New Probable 2021-01-21,New Probable 2021-01-22,New Probable 2021-01-23,New Probable 2021-01-24,New Probable 2021-01-25,New Probable 2021-01-26,New Probable 2021-01-27,New Probable 2021-01-28,New Probable 2021-01-29,New Probable 2021-01-30,New Probable 2021-01-31,New Probable 2021-02-01,New Probable 2021-02-02,New Probable 2021-02-03,New Probable 2021-02-04,New Probable 2021-02-05,New Probable 2021-02-06,New Probable 2021-02-07,New Probable 2021-02-08,New Probable 2021-02-09,New Probable 2021-02-10,New Probable 2021-02-11,New Probable 2021-02-12,New Probable 2021-02-13,New Probable 2021-02-14,New Probable 2021-02-15,New Probable 2021-02-16,New Probable 2021-02-17,New Probable 2021-02-18,New Probable 2021-02-19,New Probable 2021-02-20,New Probable 2021-02-21,New Probable 2021-02-22,New Probable 2021-02-23,New Probable 2021-02-24,New Probable 2021-02-25,New Probable 2021-02-26,New Probable 2021-02-27,New Probable 2021-02-28,New Probable 2021-03-01,New Probable 2021-03-02,New Probable 2021-03-03,New Probable 2021-03-04,New Probable 2021-03-05,New Probable 2021-03-06,New Probable 2021-03-07,New Probable 2021-03-08,New Probable 2021-03-09,New Probable 2021-03-10,New Probable 2021-03-11,New Probable 2021-03-12,New Probable 2021-03-13,New Probable 2021-03-14,New Probable 2021-03-15,New Probable 2021-03-16,New Probable 2021-03-17,New Probable 2021-03-18,New Probable 2021-03-19,New Probable 2021-03-20,New Probable 2021-03-21,New Probable 2021-03-22,New Probable 2021-03-23,New Probable 2021-03-24,New Probable 2021-03-25,New Probable 2021-03-26,New Probable 2021-03-27,New Probable 2021-03-28,New Probable 2021-03-29,New Probable 2021-03-30,New Probable 2021-03-31,New Probable 2021-04-01,New Probable 2021-04-02,New Probable 2021-04-03,New Probable 2021-04-04,New Probable 2021-04-05,New Probable 2021-04-06,New Probable 2021-04-07,New Probable 2021-04-08,New Probable 2021-04-09,New Probable 2021-04-10,New Probable 2021-04-11,New Probable 2021-04-12,New Probable 2021-04-13,New Probable 2021-04-14,New Probable 2021-04-15,New Probable 2021-04-16,New Probable 2021-04-17,New Probable 2021-04-18,New Probable 2021-04-19,New Probable 2021-04-20,New Probable 2021-04-21,New Probable 2021-04-22,New Probable 2021-04-23,New Probable 2021-04-24,New Probable 2021-04-25,New Probable 2021-04-26,New Probable 2021-04-27,New Probable 2021-04-28,New Probable 2021-04-29,New Probable 2021-04-30,New Probable 2021-05-01,New Probable 2021-05-02,New Probable 2021-05-03,New Probable 2021-05-04,New Probable 2021-05-05,New Probable 2021-05-06,New Probable 2021-05-07,New Probable 2021-05-08,New Probable 2021-05-09,New Probable 2021-05-10,New Probable 2021-05-11,New Probable 2021-05-12,New Probable 2021-05-13,New Probable 2021-05-14,New Probable 2021-05-15,New Probable 2021-05-16,New Probable 2021-05-17,New Probable 2021-05-18,New Probable 2021-05-19,New Probable 2021-05-20,New Probable 2021-05-21,New Probable 2021-05-22,New Probable 2021-05-23,New Probable 2021-05-24,New Probable 2021-05-25,New Probable 2021-05-26,New Probable 2021-05-27,New Probable 2021-05-28,New Probable 2021-05-29,New Probable 2021-05-30,New Probable 2021-05-31,New Probable 2021-06-01,New Probable 2021-06-02,New Probable 2021-06-03,New Probable 2021-06-04,New Probable 2021-06-05,New Probable 2021-06-06,New Probable 2021-06-07,New Probable 2021-06-08,New Probable 2021-06-09,New Probable 2021-06-10,New Probable 2021-06-11,New Probable 2021-06-12,New Probable 2021-06-13,New Probable 2021-06-14,New Probable 2021-06-15,New Probable 2021-06-16,New Probable 2021-06-17,New Probable 2021-06-18,New Probable 2021-06-19,New Probable 2021-06-20,New Probable 2021-06-21,New Probable 2021-06-22,New Probable 2021-06-23,New Probable 2021-06-24,New Probable 2021-06-25,New Probable 2021-06-26,New Probable 2021-06-27,New Probable 2021-06-28,New Probable 2021-06-29,New Probable 2021-06-30,New Probable 2021-07-01,New Probable 2021-07-02,New Probable 2021-07-03,New Probable 2021-07-04,New Probable 2021-07-05,New Probable 2021-07-06,New Probable 2021-07-07,New Probable 2021-07-08,New Probable 2021-07-09,New Probable 2021-07-10,New Probable 2021-07-11,New Probable 2021-07-12,New Probable 2021-07-13,New Probable 2021-07-14,New Probable 2021-07-15,New Probable 2021-07-16,New Probable 2021-07-17,New Probable 2021-07-18,New Probable 2021-07-19,New Probable 2021-07-20,New Probable 2021-07-21,New Probable 2021-07-22,New Probable 2021-07-23,New Probable 2021-07-24,New Probable 2021-07-25,New Probable 2021-07-26,New Probable 2021-07-27,New Probable 2021-07-28,New Probable 2021-07-29,New Probable 2021-07-30,New Probable 2021-07-31,New Probable 2021-08-01,New Probable 2021-08-02,New Probable 2021-08-03,New Probable 2021-08-04,New Probable 2021-08-05,New Probable 2021-08-06,New Probable 2021-08-07,New Probable 2021-08-08,New Probable 2021-08-09,New Probable 2021-08-10
Anderson,0,0,6,0,17,24,0,1,0,11,9,14,8,0,9,0,31,11,22,10,4,0,0,4,9,9,0,0,0,0,18,5,16,33,15,0,0,15,7,14,10,15,0,0,16,3,5,7,9,0,0,21,7,12,0,0,0,0,42,10,23,19,0,0,0,46,17,21,0,28,0,0,0,46,0,29,0,13,0,0,50,4,0,10,9,0,0,14,6,13,0,3,0,0,5,0,25,0,0,18,4,0,0,8,0,4,0,0,0,0,3,0,1,0,0,1,0,4,5,0,0,0,11,0,6,0,0,0,-1,1,0,5,0,3,0,1,0,0,3,0,0,0,1,2,0,4,0,0,0,0,9,0,5,0,0,0,4,0,0,0,15,0,0,2,0,0,7,0,0,0,0,5,0,5,0,0,0,0,3,0,17,0,0,0,0,6,0,23,0,0,0,10,0,0,4,0,0,0,5,0,0,9,0,0,0,3,0,0,6,0,0,0,0,0,12,3,0,0,0,0,4,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,7,0,0,14,0,0,0,0,16,0,15,0,0,0,8,0,0,16,0,0,0,0
Andrews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,0,0,35,0,25,0,0,0,0,60,18,22,0,0,0,35,31,0,22,26,0,0,0,67,38,0,0,0,0,0,71,0,39,70,0,0,0,104,0,62,0,0,62,0,85,41,41,0,43,0,0,137,0,60,36,0,0,0,0,83,39,117,0,0,0,70,0,0,179,63,0,0,0,0,154,0,0,0,0,96,0,0,52,0,0,0,0,0,147,0,0,0,0,119,0,0,105,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,59,0,0,26,0,0,0,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,59,0,0,0,0,0,12,0,24,0,0,0,0,0,15,0,0,32,0,0,0,0,20,0,47,0,0,0,21,0,0,37,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,7,0,0,0,12,0,0,11,17,0,0,49,0,0,31,0,44,22,8,0,0,60,0,67,111,0,0,0,77,0
Aransas,0,0,0,53,0,2,1,0,0,0,0,0,1,5,0,0,4,1,0,0,0,0,0,2,0,1,0,0,3,-2,1,11,0,1,3,0,0,7,1,0,1,0,3,0,2,0,0,1,4,7,0,5,1,0,8,0,1,0,8,7,0,3,0,7,0,7,4,0,2,7,2,0,5,2,0,3,8,1,0,1,6,0,1,2,1,0,5,1,2,6,5,1,0,1,0,4,0,1,2,0,3,0,5,4,5,-1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,1,0,3,5,0,0,1,0,0,0,1,0,0,4,0,1,0,7,0,1,5,1,2,6,0,0,2,3,1,1,0,1,0,0,0,0,2,2,0,0,1,-1,2,9,2,2,0,6
Archer,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Armstrong,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,2,1,4,4,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,1,-3,0,-1,0,0,0,0,3,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,-3,1,0,-2,2,0,0,0,0,0,0,0,0,0,1
Atascosa,0,-1,5,8,12,3,14,0,1,36,1,1,13,2,0,0,14,6,4,19,11,0,0,7,7,8,0,0,0,0,14,25,10,6,10,0,0,26,3,26,14,1,0,0,19,18,11,4,17,0,0,34,0,0,11,0,0,0,2,23,6,15,0,0,0,6,3,7,19,13,0,0,7,30,7,4,0,0,0,0,26,32,9,0,0,1,-1,2,10,9,39,0,0,8,1,26,15,10,0,0,12,8,9,9,2,0,0,0,0,0,0,0,0,0,26,2,5,0,0,5,0,4,-1,1,1,2,0,0,0,0,4,0,1,0,0,0,3,-2,2,0,-1,0,0,3,-2,1,2,0,0,1,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,4,1,-2,1,0,0,-1,-1,-1,1,0,0,5,0,0,-1,1,0,0,0,0,0,3,1,1,0,0,0,5,0,0,0,0,0,1,-1,-3,-2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,2,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,2,3,0,0,7,7,7,0,0,0,0,0,2,6,31,0,0,2,0,13,1,0,1,0,0,0,5,2,2,0,0,0,2
Austin,0,2,2,4,0,-1,0,1,0,0,0,0,-3,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,18,0,1,0,0,0,3,3,0,0,0,1,2,0,2,0,0,0,0,0,3,2,1,0,2,0,0,1,6,-1,2,6,0,2,0,1,0,4,3,0,1,3,2,0,2,0,0,0,2,1,0,3,0,4,1,2,2,4,2,3,1,0,3,2,-3,0,0,0,0,0,0,0,1,3,1,0,2,0,2,1,6,0,-1,4,4,1,3,3,0,0,2,-2,0,0,2,1,0,0,0,2,2,3,0,0,2,1,0,3,2,0,-2,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,-2,0,0,-1,0,0,2,-5,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,2,0,2,0,1,1,1,0,1,0,0,1,1,1,0,3,0,0
Bailey,0,0,6,3,4,0,12,0,0,2,9,0,6,4,0,0,0,0,14,4,2,0,0,6,4,2,0,0,0,0,4,4,6,3,6,0,0,1,6,1,3,2,0,0,1,1,3,0,0,0,0,1,3,0,0,0,0,0,0,2,-2,-1,0,0,0,0,5,0,0,3,0,0,0,-1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,2,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-8,0,1,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,-2,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,-2,2,0,0,0,2,-1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,-2,0,0,0,1
Bandera,0,0,1,1,2,0,8,0,0,1,5,0,5,1,0,0,5,6,2,2,0,0,0,0,6,0,0,0,0,0,2,0,2,2,4,0,0,3,3,1,3,2,0,0,4,2,4,1,3,0,0,0,0,0,9,0,0,0,5,8,3,3,0,0,0,1,0,2,10,0,0,0,2,6,0,5,3,0,0,0,1,10,3,2,0,0,0,6,0,3,9,0,0,7,0,5,2,4,0,0,6,2,0,3,2,0,0,0,0,0,0,0,0,0,10,2,5,1,0,0,0,2,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,-1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,3,0,0,2,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,5,0,0,0,0,0,0,0,1,2,7,0,0,0,1,3,1,0,1,0,0,0,1,1,3,1,0,0,2
